Timestamp,Raw_Range,Range_m
09:01:07,1.922,-0.720
09:01:08,1.932,-0.717
09:01:08,1.956,-0.711
09:01:08,1.928,-0.718
09:01:08,1.912,-0.722
09:01:08,1.928,-0.718
09:01:08,1.927,-0.718
09:01:08,1.919,-0.720
09:01:08,1.932,-0.717
09:01:08,1.922,-0.719
09:01:08,1.945,-0.714
09:01:08,2.026,-0.694
09:01:08,1.969,-0.708
09:01:08,1.960,-0.710
09:01:08,2.014,-0.696
09:01:08,2.012,-0.697
09:01:08,2.010,-0.698
09:01:08,1.934,-0.716
09:01:08,1.914,-0.721
09:01:08,1.910,-0.723
09:01:08,1.969,-0.708
09:01:08,1.996,-0.701
09:01:09,1.967,-0.708
09:01:09,1.968,-0.708
09:01:09,1.945,-0.714
09:01:09,1.950,-0.712
09:01:09,1.942,-0.715
09:01:09,1.943,-0.714
09:01:09,1.957,-0.711
09:01:09,1.960,-0.710
09:01:09,1.988,-0.703
09:01:09,1.985,-0.704
09:01:09,1.920,-0.720
09:01:09,-0.942,-1.436
09:01:09,-3.743,-2.136
09:01:09,-4.972,-2.443
09:01:09,-7.768,-3.142
09:01:09,-4.704,-2.376
09:01:09,-3.730,-2.132
09:01:09,-5.556,-2.589
09:01:09,-2.617,-1.854
09:01:09,-1.841,-1.660
09:01:10,-0.656,-1.364
09:01:10,1.168,-0.908
09:01:10,0.196,-1.151
09:01:10,1.002,-0.949
09:01:10,-0.714,-1.379
09:01:10,0.432,-1.092
09:01:10,0.708,-1.023
09:01:10,-0.104,-1.226
09:01:10,-2.414,-1.803
09:01:10,-2.016,-1.704
09:01:10,-2.122,-1.730
09:01:10,0.370,-1.107
09:01:10,2.329,-0.618
09:01:10,2.809,-0.498
09:01:10,3.829,-0.243
09:01:10,2.838,-0.491
09:01:10,3.756,-0.261
09:01:10,4.616,-0.046
09:01:10,7.135,0.584
09:01:11,7.132,0.583
09:01:11,6.196,0.349
09:01:11,9.044,1.061
09:01:11,12.093,1.823
09:01:11,11.860,1.765
09:01:11,13.499,2.175
09:01:11,15.129,2.582
09:01:11,13.391,2.148
09:01:11,11.491,1.673
09:01:11,8.495,0.924
09:01:11,9.200,1.100
09:01:11,11.336,1.634
09:01:11,14.293,2.373
09:01:11,16.200,2.850
09:01:11,16.752,2.988
09:01:11,14.467,2.417
09:01:11,14.306,2.377
09:01:11,15.466,2.667
09:01:11,13.677,2.219
09:01:11,16.034,2.809
09:01:11,15.397,2.649
09:01:12,14.155,2.339
09:01:12,14.518,2.429
09:01:12,14.366,2.391
09:01:12,11.802,1.751
09:01:12,13.383,2.146
09:01:12,14.043,2.311
09:01:12,15.443,2.661
09:01:12,14.509,2.427
09:01:12,13.734,2.233
09:01:12,13.299,2.125
09:01:12,12.336,1.884
09:01:12,11.868,1.767
09:01:12,11.428,1.657
09:01:12,13.577,2.194
09:01:12,15.681,2.720
09:01:12,15.327,2.632
09:01:12,15.052,2.563
09:01:12,13.849,2.262
09:01:12,14.563,2.441
09:01:12,14.408,2.402
09:01:13,13.470,2.167
